DATETIMEINFOADDED(PT),Ingestor,1stAuditor,2ndAuditor
2018-03-30 14:31:12.895770,peraltaa,yoselinne,
2018-03-30 14:31:12.895850,peraltaa,yoselinne,
2018-03-30 14:31:12.895910,peraltaa,yoselinne,
2018-03-30 14:31:12.895990,peraltaa,yoselinne,
2018-03-30 14:31:12.896070,yoselinne,yjiyji,
2018-03-30 14:31:12.896170,yoselinne,yjiyji,
2018-03-30 14:31:12.896250,lamhelen,yoselinne,
2018-03-30 14:31:12.896320,lamhelen,yoselinne,
2018-03-30 14:31:12.896400,lamhelen,yoselinne,
2018-03-30 14:31:12.896470,lamhelen,yoselinne,
2018-03-30 14:31:12.896540,lamhelen,yoselinne,
2018-03-30 14:31:12.896610,yoselinne,jdandan,
2018-03-30 14:31:12.896680,yoselinne,jdandan,
2018-03-30 14:31:12.896790,yoselinne,yjiyji,
2018-03-30 14:31:12.896870,yoselinne,yjiyji,
2018-03-30 14:31:12.896950,yoselinne,yjiyji,
2018-03-30 14:31:12.897060,yoselinne,yjiyji,
2018-03-30 14:31:12.897160,https:docs.google.comspreadsheetsduXpvDLFIWxtzoO_jyvqySwvOPdHpdOOebwpIAedit#gid=,removed,
2018-03-30 14:31:12.897230,yoselinne,yjiyji,
2018-03-30 14:31:12.897310,yoselinne,yjiyji,
2018-03-30 14:31:12.897390,yoselinne,yjiyji,
2018-03-30 14:31:12.897470,yoselinne,yjiyji,
2018-03-30 14:31:12.897540,yoselinne,yjiyji,
2018-03-30 14:31:12.897600,yoselinne,yjiyji,
2018-03-30 14:31:12.897670,yoselinne,yjiyji,
2018-03-30 14:31:12.898380,lamhelen,yoselinne,
2018-03-30 14:31:12.898470,lamhelen,yoselinne,
2018-03-30 14:31:12.898550,lamhelen,yoselinne,
2018-03-30 14:31:12.898620,lamhelen,yoseline,
2018-03-30 14:31:12.898690,lamhelen,yoselinne,
2018-04-11 22:33:38.625490,npagan,jdandan,
2018-04-11 22:33:38.625610,npagan,jdandan,
2018-04-11 22:33:38.625650,npagan,jdandan,
2018-04-11 22:33:38.625690,npagan,jdandan,
2018-04-11 22:33:38.625730,npagan,jdandan,
2018-04-11 22:33:38.625760,npagan,jdandan,
2018-04-11 22:33:38.625790,npagan,jdandan,
2018-04-11 22:33:38.625830,npagan,jdandan,
2018-04-11 22:33:38.625870,npagan,jdandan,
2018-04-11 22:33:38.625910,npagan,jdandan,
2018-04-11 22:33:38.625940,npagan,jdandan,
2018-04-11 22:33:38.625970,npagan,jdandan,
2018-04-11 22:33:38.626010,npagan,jdandan,
2018-04-11 22:33:38.626040,npagan,jdandan,
2018-04-11 22:33:38.626080,npagan,jdandan,
2018-04-11 22:33:38.626110,npagan,jdandan,
2018-04-11 22:33:38.626140,npagan,jdandan,
2018-04-11 22:33:38.626180,npagan,jdandan,
2018-04-11 22:33:38.626210,npagan,jdandan,
2018-04-11 22:33:38.626240,npagan,jdandan,
2018-04-11 22:33:38.626280,npagan,jdandan,
2018-04-11 22:33:38.626310,npagan,jdandan,
2018-04-11 22:33:38.626340,iamhelen,yoselinne,
2018-04-11 22:33:38.626380,iamhelen,yoselinne,
2018-04-11 22:33:38.626410,iamhelen,yoselinne,
2018-04-11 22:33:38.626440,jjoines,yoselinne,
2018-04-11 22:33:38.626480,jjoines,yoselinne,
2018-04-11 22:33:38.626520,jjoines,yoselinne,
2018-04-11 22:33:38.626560,jjoines,yoselinne,
2018-04-11 22:33:38.626590,jjoines,yoselinne,
2018-04-11 22:33:38.626630,jjoines,yoselinne,
2018-04-11 22:33:38.626660,jjoines,yoselinne,
2018-04-11 22:33:38.626700,jjoines,yoselinne,
2018-04-11 22:33:38.626730,jjoines,yoselinne,
2018-04-11 22:33:38.626760,lamhelen,yoselinne,
2018-04-11 22:33:38.626800,lamhelen,yoselinne,
2018-04-11 22:33:38.626830,lamhelen,yoselinne,
2018-04-11 22:33:38.626870,lamhelen,yoselinne,
2018-04-11 22:33:38.626910,lamhelen,yoselinne,
2018-04-11 22:33:38.626950,lamhelen,yoselinne,
2018-04-11 22:33:38.626980,lamhelen,yoselinne,
2018-04-11 22:33:38.627020,lamhelen,yoselinne,
2018-04-11 22:33:38.627070,lamhelen,yoselinne,
2018-04-11 22:33:38.627110,lamhelen,yoselinne,
2018-04-11 22:33:38.627140,lamhelen,yoselinne,
2018-04-11 22:33:38.627180,lamhelen,yoselinne,
2018-04-11 22:33:38.627210,lamhelen,yoselinne,
2018-04-11 22:33:38.627250,lamhelen,yoselinne,
2018-04-11 22:33:38.627280,lamhelen,yoselinne,
2018-04-11 22:33:38.627310,lamhelen,yoselinne,
2018-04-11 22:33:38.627350,yoselinne,yjiyji,
2018-04-11 22:33:38.627380,yoselinne,yjiyji,
2018-04-11 22:33:38.627410,yoselinne,yjiyji,
2018-04-11 22:33:38.627460,yoselinne,yjiyji,
2018-04-11 22:33:38.627490,yoselinne,yjiyji,
2018-04-11 22:33:38.627530,yoselinne,yjiyji,
2018-04-11 22:33:38.627560,yoselinne,yjiyji,
2018-04-11 22:33:38.627600,yoselinne,yjiyji,
